,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ERBB2IP,896.3584377,-0.572967325,0.389981164,-1.469217946,0.141773684,0.568551073
GHITM,380.6991891,-1.520608878,0.735236049,-2.068191405,0.038622028,0.315233106
NBEAL1,713.0515625,-0.68685545,0.456150604,-1.50576464,0.132127604,0.552340372
VEZF1,283.1816282,-0.702451541,0.539011205,-1.30322252,0.192498804,0.633672276
ATP6V1C1,211.8137065,-0.703232553,0.512603104,-1.371885084,0.170099214,0.609025515
CACTIN,679.8641806,1.114188807,0.413122972,2.696990686,0.006996923,0.123426198
NCOA6,452.4895513,-0.827414481,0.537432802,-1.539568253,0.123665629,0.537033028
MORN2,34.5160685,-1.893731481,0.883092669,-2.14443121,0.031998352,0.286188157
USP47,712.9473392,-0.50009199,0.33848478,-1.477443065,0.139556909,0.565211208
AP2M1,678.9308581,-0.592465527,0.424324451,-1.396255921,0.162637442,0.596871253
SUCLG2,296.2541873,-1.15853618,0.601411443,-1.926362049,0.054059183,0.377363287
ADGRL2,346.3334823,-1.19806155,0.549692776,-2.179511176,0.029293715,0.274166962
GPBP1,344.479671,-0.240505108,0.549147899,-0.437960536,0.661414892,0.919336248
FAM127C,21.84608915,-1.24075811,0.893575844,-1.388531391,0.164975293,0.60031916
ARFGEF1,855.4487994,-0.383348752,0.346604938,-1.106010648,0.26872191,0.711043315
EPB41L5,527.1257295,-0.868803452,0.383457944,-2.265707273,0.023469312,0.243390416
TAX1BP1,601.8570197,-0.544676893,0.498538228,-1.092547897,0.27459235,0.716929144
DDX5,4167.905143,-0.591687158,0.453436832,-1.304894347,0.191928826,0.633499348
KCNK6,2945.137101,5.222035383,0.625885304,8.343438247,7.22E-17,6.48E-14
MTRNR2L1,360.8767733,2.646781267,0.681277546,3.885026424,0.000102319,0.005960445
SDHA,587.5549026,-1.268192655,0.482940135,-2.625983146,0.00863991,0.139738684
SH3RF1,278.9827711,-1.047981102,0.556751709,-1.882313222,0.0597935,0.394148603
PPP6C,120.4649853,-0.920770312,0.793330391,-1.160639151,0.245788677,0.688877814
CLMN,1172.393381,-0.490700011,0.370367631,-1.32489983,0.185204377,0.626618351
CSNK1A1,487.1264418,-0.673882684,0.470731226,-1.431565713,0.152268148,0.582411657
ARHGAP24,620.4542358,-1.264196494,0.381270778,-3.315744526,0.000913993,0.03054068
TALDO1,309.5062659,-0.77594022,0.53069482,-1.462121339,0.143707962,0.571359943
AKAP8,1077.23836,1.318027133,0.390745513,3.373108814,0.000743246,0.026493893
REEP5,432.3376634,-0.844267876,0.665859381,-1.267937195,0.20482038,0.649005116
DOCK1,1085.729635,-0.763198563,0.293983806,-2.596056476,0.009430056,0.146910154
KANSL1L,349.46679,-0.479438415,0.427872612,-1.120516718,0.262493632,0.704693346
SPAG9,1162.843234,-0.431770295,0.231899481,-1.861885559,0.062619223,0.402118262
SMARCA5,771.5775323,-0.502819558,0.296761072,-1.694358207,0.090197236,0.472470827
TEK,203.3298786,-2.088452354,0.672977738,-3.103300802,0.00191375,0.050865059
MYO1E,799.1863124,-1.061356529,0.331591526,-3.200795087,0.00137049,0.040944672
SNX5,380.5959675,-0.623704835,0.565743023,-1.102452544,0.270264979,0.712057918
SDHD,84.14472708,-1.219307886,0.877772842,-1.389092744,0.16480455,0.600173666
ARHGEF38,239.4573555,-1.427406125,0.679466693,-2.100774238,0.035660789,0.302114654
ZNF638,1565.866264,-0.402489471,0.408807002,-0.984546422,0.324846918,0.75578192
SON,2936.319598,-0.49080188,0.303217162,-1.618648092,0.105523001,0.5026564
EPS15,718.0502496,-0.369606026,0.355591277,-1.03941252,0.298612924,0.735196112
CLTC,1630.45421,-1.0349728,0.365157213,-2.834321114,0.004592316,0.093908697
AP1G1,605.9059739,-0.655349874,0.347602833,-1.885341006,0.059383813,0.393388331
PFDN1,104.1111058,-0.84384775,0.67419716,-1.251633498,0.210703443,0.655289916
CRYZL1,109.7291559,-0.342592367,0.78258798,-0.437768501,0.661554107,0.919336248
GK5,1141.956798,1.747972145,0.444467634,3.932732125,8.40E-05,0.005182974
GBP3,207.434219,-0.875289788,0.697449241,-1.254987083,0.209483449,0.654861728
