"","substanceBXH","moduleColor","GS.weight","p.GS.weight","MM.green","p.MM.green","MM.purple","p.MM.purple","MM.magenta","p.MM.magenta","MM.black","p.MM.black","MM.red","p.MM.red","MM.blue","p.MM.blue","MM.grey","p.MM.grey","MM.yellow","p.MM.yellow","MM.brown","p.MM.brown","MM.pink","p.MM.pink","MM.turquoise","p.MM.turquoise"
"BCAS2","BCAS2","black",-0.16698214237388,0.330358958715122,-0.196131065757817,0.251616091227265,-0.160809050476986,0.348799686420885,-0.620467887699888,5.41777573584326e-05,0.576312588412817,0.000234622772032038,0.457005161951998,0.00507846569356205,0.456187694246904,0.00516807400374403,-0.397906171440061,0.0162450317211536,0.0726504132636786,0.673699635434202,-0.391470083589352,0.018224452794424,0.0198064398547325,0.908718017720343,0.405240260094756,0.0142124930299916
"WEE1","WEE1","black",-0.166209306086144,0.332634013014055,-0.199996039156859,0.242206904011634,-0.201947636347083,0.23754679595232,-0.35270766561853,0.0348671019531498,0.4233074970881,0.0100989448844572,0.0530623597697353,0.758573350907504,-0.0407141698206384,0.81361781913343,-0.267611868119651,0.114579679753347,0.306624854389884,0.0689242858580226,-0.00107134308655306,0.995052195274248,-0.0275356515459309,0.873343280022618,0.0394032623083038,0.819518446412502
"ASB8","ASB8","black",-0.157322601060435,0.359485068540834,-0.190686391256279,0.265279062735665,-0.14564207867796,0.396691300594269,-0.524872120100236,0.00101431255030836,0.780887677027521,1.9282115193029e-08,0.229413599836684,0.178323523300996,0.461895838051053,0.00456986571959528,-0.12735600730465,0.459184459674379,-0.0368025955029965,0.831253143968455,-0.45529936767028,0.00526699278360053,-0.0156603423305157,0.927769587304089,0.39745122062205,0.0163787592644627
"PRKDC","PRKDC","black",-0.134131180598385,0.435438666142207,-0.315800620711415,0.0606184965534912,-0.254534367628379,0.134105352435188,-0.54182001335411,0.000642522022529588,0.772188061332554,3.47469327225355e-08,0.344185292540474,0.039830038104205,0.366808533048714,0.0277699889242068,-0.394033032400807,0.0174133280027963,-0.115439324131848,0.502578294433687,-0.198616579347462,0.245537641178549,0.0850778725912303,0.621766677482752,0.431121261963611,0.00866248191542732
"SRPK2","SRPK2","black",-0.129275011992766,0.452389300697933,-0.0363414655006338,0.833337681328791,-0.0785288504174304,0.648930291516344,-0.394900549153969,0.017145716288765,0.625090739089691,4.5870839135637e-05,0.468946602771337,0.00391435781098453,0.450746404399376,0.0058000188345373,0.137255258370596,0.424721765488171,0.171615076378356,0.316923044755737,-0.478429617297398,0.00316216617159378,0.202952055861483,0.235172135386772,0.452025398728612,0.00564579161602312
"USP15","USP15","black",-0.113644641415808,0.509288003511632,-0.191452000460131,0.263328914178341,-0.0251673864926746,0.884159783222762,-0.336882613904892,0.0445246044644528,0.733861234413339,3.52908971958025e-07,0.29453825448253,0.0811978178931389,0.495333158468081,0.00212899736071038,0.235136598092214,0.167440807275893,-0.145574679396306,0.396912219303445,-0.354336199157193,0.0339787304904767,0.108068931116361,0.53041569595459,0.400359489893316,0.0155395938852733
"MAPKAP1","MAPKAP1","black",-0.107666585444947,0.531956546255634,-0.0574296054848891,0.739367060927857,-0.0975082841047523,0.57156150546614,-0.364148348813393,0.029009114103053,0.709336755801059,1.27829362271128e-06,0.363346297234546,0.0293915045288928,0.559012064018148,0.000394261336058971,0.0928417351649538,0.590192799558812,0.0344069026099488,0.842094912338453,-0.383823362369082,0.0208343823307629,0.0990856469653091,0.565324871460085,0.614345380171723,6.72676268832591e-05
"DCP2","DCP2","black",-0.101529266479992,0.555725371082353,-0.117568792219785,0.494675256795034,-0.100062423204251,0.561478589573413,-0.378739303936103,0.0227362259824861,0.780393387365303,1.99523191300981e-08,0.439754171192678,0.00728176813906524,0.72184125576509,6.74426761821013e-07,0.216722302948812,0.204228703660092,-0.368241474848118,0.0271207890253045,-0.483986775596957,0.00278261190338368,0.308794519267206,0.0668840552315093,0.634393474385799,3.25472523214222e-05
"ZNF420","ZNF420","black",-0.0909611630677489,0.597775744257226,-0.0877765693966164,0.610712203739549,-0.224902823988915,0.187248440838261,-0.562161922437738,0.00035947099202555,0.571862193240815,0.000268876650518209,0.5242472788127,0.00103106608430124,0.54467094961947,0.00059360757064018,-0.0876207743073724,0.611348106744495,0.0894547415504809,0.603880325275237,-0.370555879085532,0.0260986833647235,0.171721616747561,0.316618154100739,0.496001684485404,0.00209507852956755
"MAPRE1","MAPRE1","black",-0.0779450687919737,0.651374132673152,0.00199801704746289,0.990772658774952,-0.0933644643329918,0.588092564285925,-0.417310747130894,0.0113343504360127,0.779487181422777,2.12373233833639e-08,0.458547561233226,0.00491303915609811,0.704400553828378,1.63057814424575e-06,0.0164013559206972,0.924361375865489,-0.0902850378123435,0.600512344474667,-0.48776871495982,0.00254760394464609,0.267986773042559,0.114053301216482,0.725908470394487,5.43745059610697e-07
"OGT","OGT","black",-0.0776534612714959,0.652596210520167,0.0526051211940379,0.76059267303922,-0.103709182605503,0.547226491489611,-0.409066706334413,0.013240031214613,0.716198101148471,9.03779202595892e-07,0.360834167388095,0.0306160802512504,0.612609370691946,7.14661001118815e-05,0.259904635399069,0.12580974226048,-0.244730364624824,0.150280593973721,-0.675165879860749,6.27204942079691e-06,0.385544675267022,0.0202212743977078,0.701285229651714,1.89657422955914e-06
"CTNNBIP1","CTNNBIP1","black",-0.073004658675831,0.67219705474485,-0.0581663866473948,0.736141738886402,-0.00293830955705709,0.986430489276879,-0.34201885673125,0.041178852761395,0.706982928189019,1.43650073627994e-06,0.345513864063552,0.0390207355870144,0.703277229967379,1.72227145992268e-06,0.188634656649153,0.270551954746281,-0.227372971446192,0.18232285229733,-0.507277926605127,0.00159007975834951,0.0991377142847284,0.565119539607477,0.576664067392679,0.000232091809079397
"LEPR","LEPR","black",-0.0695830270570674,0.686761872617562,-0.218680438559144,0.200070130189639,-0.251289332053373,0.139309993403649,-0.475063462518984,0.00341334109942654,0.796266590183223,6.36198525388606e-09,0.413574227577289,0.0121671046777044,0.532967076969771,0.000818004975146811,-0.0882334046852405,0.608849174027831,-0.159791288759153,0.351898841866837,-0.343771883151339,0.040084623298618,0.0865069259449276,0.615902593876134,0.534361114323021,0.000787830206716103
"ATG7","ATG7","black",-0.0677311512355549,0.694691714649783,-0.356148783283222,0.0330117743858899,-0.0614701186586914,0.721734619448674,-0.282650364788176,0.0948588052657357,0.458796933224322,0.00488673509280664,0.145949243468535,0.395685385804411,0.114682629684985,0.505401863446061,-0.00497013762895037,0.97704919941662,-0.351671684453553,0.0354420233862469,-0.079487694499506,0.644924187200542,0.0467770296843829,0.786463823983243,-0.00915827813146841,0.957722799220691
"STAG1","STAG1","black",-0.0570583058709325,0.740994121220671,-0.0600248802283047,0.728025842544553,-0.178565452665098,0.297418492098375,-0.334056420041649,0.0464569526879215,0.792802810331631,8.23280016044732e-09,0.334625867459794,0.0460622788634885,0.661373368190252,1.12558157716819e-05,0.157155530627604,0.360001991643552,-0.235894319351368,0.166036485456412,-0.402253910709053,0.0150126353730592,0.236441489249089,0.165027662764135,0.607714543047999,8.4607922318058e-05
"EMP1","EMP1","black",-0.0513320139141739,0.76622332623954,-0.118543054376948,0.491080782818308,-0.284867967554181,0.0921854444043451,-0.541127454607956,0.000654931494859627,0.699312872692035,2.08494357991577e-06,0.360901626247502,0.0305826583411414,0.462163379410651,0.00454336176916398,-0.126253163300373,0.463114175926383,0.0101689100685694,0.953062324779988,-0.360657199983786,0.0307038995862058,0.151488831404925,0.377798032111296,0.543061944348151,0.000620790532762175
"CD44","CD44","black",-0.0402473860586362,0.81571775538053,-0.191223495883978,0.263909965807432,-0.324352376737445,0.0536103571760389,-0.369442955184348,0.0265861406539327,0.571965787329792,0.000268031023665797,0.427982907468392,0.00921696053188475,0.278579603131592,0.0999200585740492,-0.0258767600351426,0.880917629231999,-0.0768339275706124,0.656035500945136,-0.0172943477115464,0.92025592390999,0.213025548806474,0.212242545096655,0.214299323201473,0.209457126245122
"CDK5","CDK5","black",-0.0233794838553911,0.892339406433672,-0.241861785737562,0.155271354348641,-0.055712963088656,0.74689873003922,-0.226592569635502,0.183868987084083,0.36789833060379,0.0272751014552841,-0.103231943474149,0.549081848505832,-0.126289785162716,0.462983396130199,0.0411342875958197,0.811728913806316,-0.0949347899716775,0.581803207224102,-0.0487005558531282,0.77789879959994,-0.0583038354873156,0.735540534285092,-0.0356406329372918,0.8365079330677
"UBR5","UBR5","black",-0.0196249362814087,0.909551066152695,-0.342291100673079,0.0410073523562557,-0.265072739173986,0.11819286367926,-0.270256038555106,0.110905909078664,0.620771885774668,5.35923601709286e-05,0.235759636000318,0.166285480401688,0.364961761152083,0.028625492678914,-0.0681426220647786,0.692926977051384,-0.347357644226097,0.0379197403746501,-0.046114954517547,0.789417667855346,0.114627276336166,0.505608724499536,0.192587166583346,0.260454867772531
"CASP10","CASP10","black",0.0155777417991871,0.928149578993967,-0.132033776081856,0.442716405860327,-0.355817861525522,0.0331866122927439,-0.18914585293904,0.269231825255058,0.540909714495924,0.00065887673241967,0.113633346874465,0.509330371356599,0.187540717940057,0.273391191857768,-0.0474064570316454,0.783658356545001,0.0554964173192226,0.747850470298673,-0.0777668436709848,0.65212093799472,0.188906098298424,0.269850448514232,0.034871637299855,0.839989442669811
"MTAP","MTAP","black",-0.0107364171867905,0.950445958637507,-0.19037576025729,0.266072999854571,-0.22575786860823,0.185532938112489,-0.458456922092506,0.00492263012945772,0.561772937975076,0.000363613607049751,0.206578283617105,0.226732786316789,0.222202728762117,0.192739076916233,-0.185314782845325,0.279228305381983,-0.11653700079299,0.498496573140954,-0.296816419799358,0.0787635159191,0.24571322880888,0.148597773759819,0.309211121168108,0.066497796918309
"DFFA","DFFA","black",0.00265035339279961,0.987760204718929,0.283328828662245,0.0940346836549564,0.0745419425228841,0.665690997185891,0.372240680957581,0.025374798714732,-0.620834624644754,5.3472260502367e-05,-0.355780346004553,0.0332064807569322,-0.394394046978986,0.0173015404328505,-0.339955495435051,0.042497613430979,0.216516661349093,0.204668891619344,0.35704839180781,0.0325402806379055,-0.0572335878302755,0.740225885346574,-0.281915500644289,0.0957576577212225
